num,front,back,side
1,to consider,überlegen,
2,to complain,klagen,
3,to frustrate,frustrieren,
4,the obstacle,das Hindernis,
5,the working conditions,die Arbeitsbedingungen,
6,to take in,hineinnehmen,
7,to set a goal,ein Ziel setzen,
8,the search,die Suche,
9,the overdose,die Überdosis,
10,approximately,ungefähr,
11,to extend,erweitern,
12,the cruiser ship,das Kreuzfahrtschiff,
13,the seagull,die Möwe,
14,the ferry,die Fähre,
15,soon,bald,
16,shabby,heruntergekommen,
17,pleasant,angenehm,
18,the passion,die Leidenschaft,
19,the point of view,die Sichtweise,
20,to choose,aussuchen,
21,the resolution,die Auflösung,
22,the co-student,der Kommilitone,
23,the crossroads,die Kreuzung,
24,the lane,die Fahrbahn,
25,the count,die Anzahl,
26,the peninsula,die Halbinsel,
27,the military naval base,der militärische Marinestützpunkt,
28,strange,merkwürdig,
29,the threat,die Bedrohung,
30,the civil war,der Bürgerkrieg,
31,the territory,das Gebiet,
32,the ruler,der Herrscher,
33,to rule,beherrschen,
34,the weakness of character,die Charakterschwäche,
35,to care about,sich kümmern um,
36,to prevent,verhindern,
37,to represent,darstellen,
38,the most possible,das Möglichste,
39,the traffic,der Verkehr,
40,the occupation zone,die Besatzungszone,
41,encrusted,verkrustet,
42,mostly,überwiegend,
43,hushed up,totgeschwiegen,
44,the society,die Gesellschaft,
45,to enlighten,aufklären,
46,the demand,die Forderung,
47,the grading,die Benotung,
48,the nuclear reactor,der Kernreaktor,
49,the research,die Forschung,
50,to pursue,einschlagen,
51,to comprehend,nachvollziehen,
52,the devastation,die Verwüsstung,
53,the path,die Schneise,
54,the root cause,die Ursache,
55,to deal with,austragen,
56,the spark,der Funke,
57,to ignite,zünden,
58,the wound,die Verwundung,
59,the request,die Anfrage,
60,the summary,die Zusammenfassung,
61,the suffering,das Leiden,
62,to switch on,anschalten,
63,the plague,die Pest,
64,the corpse,die Leiche,
65,the chain reaction,die Kettenreaktion,
66,outstanding,hervorragend,
67,to be missing,fehlen,
68,unconditional basic income,Bedingungsloses Grundeinkommen,
69,the longing,die Sehnsucht,
70,some,manche,
71,the emergence,die Entstehung,
72,the center of gravity,der Schwerpunkt,
73,the distribution,die Verteilung,
74,to shift,verlagern,
75,comprehensive,umfassende,
76,the survey,die Erhebung,
77,to intimidate,einschüchtern,
78,the suspicion,der Verdacht,
79,rather,eher,
80,from time to time,mitunter,
81,the awareness,das Bewusstsein,
82,the abortion,die Abtreibung,
83,extramarital sex,außerehelicher Sex,
84,to enrich,bereichern,
85,to strive,streben,
86,such,solch,
87,the advocate,der Vervechter,
88,to ease up,nachlassen,
89,the challenge,die Herausforderung,
90,the script,das Drehbuch,
91,to interrupt,unterbrechen,
92,the deadline,die Frist,
93,to contaminate,verunreinigen,
94,inevitable,zwangsläufig,
95,to be affected,betroffen sein,
96,the mindset,die Denkweise,
97,the diversity,die Verschiedenartigkeit,
98,to apply,zutreffen,
99,typical,typisch,
100,the media,die Medien,
101,hissing,zischen,
102,the hiss,das Zischen,
103,the similarity,die Ähnlichkeit,
104,literal,wörtlich,
105,to mention,erwähnen,
106,closest,am nächsten,
107,arbitrarily,beliebig,
108,the matrix,die Matrix,
109,the equation,die Gleichung,
110,to elicit,eruieren,
111,to distinguish,unterscheiden,
112,to perceive,wahrnehmen,
113,the term,der Begriff,
114,merely,lediglich,
115,clockwise,im Uhrzeigersinn,
116,counter-clockwise,gegen den Uhrzeigersinn,
117,the shaft,die Welle,
118,the change gear,das Wechselgetriebe,коробка передач
119,the neural network,das neuronale Netzwerk,
120,the impulse conservation law,das Impulserhaltungsgesetz,
121,the torque,das Drehmoment,
122,the coupling,die Kupplung,сцепление
123,the curve,die Kurve,
124,to impair,beeinträchtigen,
125,the applications,die Anwendungen,
126,to brake,bremsen,
127,the brake,die Bremse,
128,the acceleration,die Beschleunigung,
129,to transmit,übertragen,
130,the handlebar,der Lenker,руль
131,the steering wheel,das Steuer,
132,the inertia,die Trägheit,
133,to pass,durchlaufen,
134,solid body,fester Körper,
135,quietly,leise,
136,the overtaking,das Überhol,
137,the maneuver,das Manöver,
138,to maintain,beibehalten,
139,the stable,der Stall,
140,definitely,eindeutig,
141,the conception,die Auffassung,
142,to abuse,missbrauchen,
143,the violation,der Verstoß,
144,the lawyer,der Anwalt,
145,the consumer,der Verbraucher,
146,to renounce,verzichten,
