num,front,back,side
1,capable of this,dazu fähig,
2,The land is rich in mineral resources.,Das Land ist reich an Bodenschätzen.,
3,happy about the price,über den Preis glücklich,
4,unexperienced in business,unerfahren um Geschäft,
5,loved by her,geliebt von ihr,
6,popular with young audiences,bei jungen Publikum beliebt,
7,He is not to blame for this accident.,Er ist in diesem Unfall nicht schuld.,
8,surprised by your behaviour,über dein Verhalten verwundert,
9,crazy about sports,verrückt nach Sport,
10,sensitive to sweets,empfindlich auf Süßes,
11,not suitable for the position,für die Stelle nicht geeignet,
12,Friedrich was so reserved to us.,Friedrich war uns gegenüber so zurückhaltend.,
13,She is interested only in his money.,Sie ist nur an seinem Geld interessiert.,
14,to complain about the service,sich über den Service beschweren,
15,He doubts in it.,Er zweifelt daran.,
16,to take part in it,daran teilnehmen,
17,to prepare for it,sich darauf vorbereiten,
