num,front,back,side
1,the depravity,die Verkommenheit,
2,stable,beständig,
3,the loneliness,die Einsamkeit,
4,the absence,die Abwesenheit,
5,the victim,das Opfer,
6,the defeat,die Niederlage,
7,the humiliation,die Demütigung,
8,the vicious charm,der lasterhafte Reiz,
9,not worth the effort,nicht der Mühe wert,
10,in detail,ausführlich,
11,It is very doubtful to me,Es ist mir sehr zweifelhaft,
12,the duty,die Pflicht,
13,on tiptoes,auf der Zehenspitzen,
14,to decipher,entziffern,
15,unavoidable,unvermeidlich,
16,religious,fromm,
17,the court,das Gericht,
18,the resurrection,die Auferstehung,
19,silly,töricht,
20,to beat,schlagen,
21,fearless,furchtlos,
22,at least first,zunächst wenigstens,
23,the discontent,der Mißmut,
24,to abdicate,abdanken,
25,the abdication,die Abdankung,
26,the machine gun,das Maschinengewehr,
27,smooth,glatt,
28,the resistance,die Gegenwehr,
29,on the other hand,andererseits,
30,by no means,keineswegs,
31,immediate,unmittelbar,непосредственно
32,the surroundings,die Umgebung,
33,but of course,aber freilich,
34,gently,sacht,
35,Ceasefire signed!,Waffenstillstand unterzeichnet!,
36,the conditions,die Bedingungen,
37,the sensation,die Empfindung,
38,sneaky,hinterhältig,
39,the horror,das Grauen,
40,the doubt,der Zweifel,
41,mature,reif,
42,contradictory,widersprüchlich,
43,within,binnen,
44,disgusting,widerlich,
45,the betrayal,der Verrat,
46,obtrusively,penetrant,
47,martial,martialisch,
48,cruel,grausam,
49,the rumor,das Gerücht,
50,the opponent,der Gegner,
51,the funeral,die Bestattung,
52,the corpse,die Leiche,
53,the revenge,die Rache,
54,to undermine,unterminieren,
55,the temporary interruption,die vorübergehende Unterbrechung,
56,the baptism of fire,die Feuertaufe,
57,the piles of broken glass,die Häufen von Glasscherben,
58,the vibration,die Erschütterung,
59,oddly enough,seltsamerweise,
60,anyway,ohnehin,
61,the virtue,die Tugend,
62,the claim,die Behauptung,
63,the outsider,der Außenseiter,
64,to spill,verschütten,
65,vain,eitel,
66,the slight anxiety,die leichte Beklemmung,
67,the conviction,die Überzeugung,
68,the hand at the wheel,die Hand am Steuer,
69,the swastika,das Hakenkreuz,
70,the restriction,die Einschränkung,
71,misteriously,geheimnisvoll,
72,to appear,erscheinen,
73,the heaps of iron filings,die Häufen von Eisenspänen,
74,unreasonable,unvernünftig,
75,inexplicable,unerklärlich,
76,the promise,die Verheißung,
77,the path,die Weise,
78,the efficiency,die Tüchtigkeit,
79,the phenomenon,die Erscheinung,
80,the insolence,die Frechheit,
81,to feel,spüren,
82,to work out,klappen,
83,cowardly,feig,
84,shy,scheu,
85,pale,bleich,
86,the spine,das Rückgrat,
87,to deviate,ablenken,
88,outrageous emptiness,ungeheuerliche Leere,вопиющая пустота
89,the attitude,die Gesinnung,
90,the shame,die Schande,
91,the beggar,der Bettler,
92,to heap,häufen,
93,the ability,die Fähigkeit,
94,to wither,verwelken,
95,to fail,versäumen,
96,the robbing,die Beraubung,
97,harmless,unbedenklich,
98,splendid,prächtig,
99,to unfold,entfalten,
100,damaged,verdorben,
101,to spoil,verderben,
102,understandably,begreiflicherweise,
103,the defense,die Abwehr,
104,the punishment,die Züchtigung,
105,to lend,verleihen,
106,slow approaching,langsame Näherkommen,
107,the state of uncertainty,der Schwebezustand,
108,the gloominess,die Düsterkeit,
109,the official,der Beamter,
110,Chasms and peaks,Abgründe und Gipfel,
111,the medium,das Mittel,средство
112,the caution,die Behutsamkeit,
113,the anticipation,das Vorgefühl,
114,the attitude,die Haltung,
115,to provoke,auslösen,
116,to arrange,anrichten,
117,to dissolve,auflösen,
118,the decree,der Erlass,устав
119,to be embarrassed,sich genieren,
120,the crowd,das Gedränge,
121,the feather,die Feder,
122,everyone according to his abilities,jeder nach seinem Vermögen,
123,to behave,sich gebaren,
124,I shrugged.,Ich zuckte die Achseln.,
125,intended,vorgesehen,предусмотренный
126,unlimited legislative power,unbeschränkte Gesetzgebungsgewalt,
127,the nervous breakdown,der Nervenzusammenbruch,
128,the arousal,die Erregung,
129,the fury,die Wut,
130,retribution of the previous revolutionary atrocities,Vergeltung der vorangegangenen revolutionären Greuel,
131,the mob,der Pöbel,чернь
132,the repayment,die Vergeltung,воздаяние
133,the labor union,die Gewerkschaft,
134,to arrest,verhaften,
135,the self-defense,die Notwehr,
136,to bear down,überwältigen,одолеть
137,the appearance,die Erscheinung,
138,the opposition,der Widerstand,
139,the despair,die Verzweiflung,
140,piece by piece,stückweise,
