num,front,back,side
1,to scale,skalieren,
2,the individual,das Individuum,
3,to nod,nicken,
4,the gym,das Fitnessstudio,
5,the air company,die Fluggesellschaft,
6,to bootlick,schmeicheln,
7,to rasp,raspeln,
8,to get away lightly,glimpflich davonkommen,
9,the grin,das Grinsen,
10,to grow,wachsen,
11,to bore,bohren,
12,the spot,der Fleck,
13,the rock,der Fels,
14,the accomplishment,die Errungenschaft,
15,the angle,der Winkel,
16,pale,blass,
17,naked,nackt,
18,the concrete,der Beton,
19,rough,grob,
20,populated,besiedelt,
21,the drama,das Drama,
22,the effort,die Aufwand,
23,the source code,der Quellcode,
24,distorted,vererrt,
25,moderate,moderat,
26,the superior,der Vorgesetzte,
27,to insert,einfügen,
28,the split,die Spaltung,
29,adequate,angemessen,
30,the conductivity,die Leitfähigkeit,
31,the thermal radiation,die Wärmestrahlung,
32,the plate,die Platte,
33,the power plant,die Kraftwerk,
34,the generation,die Erzeugung,
35,the steam,der Dampf,
36,to exhaust,entweichen,
37,to explode,explodieren,
38,the fuel rod,der Brennstab,
39,to free up,freisetzen,
40,to fall out,ausfallen,
41,to contaminate,verseuchen,
42,to hush up,vertuschen,
43,the interdependency,die Verflechtung,
44,the gap,die Lücke,
45,the thread,der Faden,
46,to obey,gehorchen,
47,the shame,die Schande,
48,to look through,nachsehen,
49,the bubble,die Blase,
50,upside down,kopfüber,
51,the inhibition,die Hemmung,
52,to suspect,verdächtigen,
53,the painting,das Gemälde,
54,the dispute,der Streit,
55,to fail,versagen,
56,the medieval times,das Mittelalter,
57,familiar,vertraut,
58,the stream,die Strömung,
59,to tackle,anpacken,
60,tackle and do,anpacken und machen,
61,the complexion,der Teint,
62,to blight,verschandeln,
63,to accept,zustimmen,
64,by heart,auswendig,
65,to detain,abhalten,
66,illegal,widerrechtlich,
67,the infringement,der Übergriff,
68,the homesickness,das Heimweh,
69,the slope,der Hang,
70,ailing,marode,
71,to transfer,übergeben,
72,to coordinate,sich abstimmen,
73,to overlook,übersehen,
74,to heal,heilen,
75,to subsidize,subventionieren,
76,unproven,unbewiesen,
77,to creak,knarren,
78,to doze,dösen,
79,the tap,der Hahn,
80,to spread,streichen,
81,to clear away,abräumen,
82,the dishwasher,der Geschirrspüler,
83,to brush one's teeth,sich die Zähne putzen,
84,to shave,sich rasieren,
85,the attachment,der Anhang,
86,to warm up,hochfahren,
87,to shut down,runterfahren,
88,the objection,der Einwand,
89,the plug socket,die Steckdose,
90,the plug,der Stecker,
91,fair,ordentlich,
92,conservative,zurückhaltend,
93,inventive,erfinderisch,
94,faithful,treu,
95,modest,bescheiden,
96,overambitious,ehrgeizig,
97,comprehensive,verständnisvoll,
98,emotional,gefühlsbetont,
99,reliable,zuverlässig,
100,just,gerecht,
101,thorough,gründlich,
102,generous,großzügig,
103,to reposition,umstellen,
104,the handyman,der Heimwerker,
105,to demand,verlangen,
106,gentle,sanft,
107,the marsh,der Sumpf,
108,the technical term,das Fachwort,
109,verbose,langatmig,
110,the dye,die Färbung,
111,the intrusion,das Eindringen,
112,child abuse,Kindesmisshandlung,
113,to incorporate,einarbeiten,
114,the promotion,die Beförderung,
115,the grade,die Abstufung,
116,the salary increase,die Gehaltserhöhung,
117,to conquer,erobern,
118,blurred,verschwommen,
119,the plot,die Handlung,
120,outraged,empört,
121,the extent,das Ausmaß,
122,the bearing walls,die tragende Wände,
123,accessible,zugänglich,
