num,front,back,side
1,to break,brechen,
2,to break the law,verbrechen,
3,the law,das Gesetz,
4,to tear,reißen,
5,to tear off,abreißen,
6,to tear in two,durchreißen,
7,to tear to pieces,zerreißen,
8,the zipper,der Reißverschluss,
9,the thief,der Dieb,
10,the theft,der Diebstahl,
11,to report,berichten,
12,to escape,entkommen,
13,to flee,fliehen,
14,respectively,beziehungsweise,соответственно
15,to touch,berühren,
16,the imprint,der Abdruck,отпечаток
17,the offender,der Täter,
18,the burglar,der Einbrecher,
19,the jail,das Gefängnis,
20,the object of value,der Wertgegenstand,
21,to hide,ausblenden,
22,to be cancelled,ausfallen,
23,the platform,der Bahnsteig,
24,to ask,bitten,
25,to rotate,drehen,
26,over there,drüben,
27,typed,getippte,
28,the insertion,die Einfügung,
29,initial,unsprünglich,
30,additionally,zusätzlich,
31,to drive,treiben,
32,to seem,scheinen,
33,the individual,der Einzelne,
34,to remember,besinnen,
35,willy-nilly,nolens oder volens,
36,just,eben,
37,naked,bloß,
38,from time to time,bisweilen,
39,commonly,gemeinhin,
40,to consider,betrachten,
41,the enemy,der Feind,
42,constantly,ständig,
43,extremely,äußerst,
44,the fear,die Furcht,
45,the threat,die Drohung,
46,the employment,die Beschäftigung,
47,the adventure,das Abenteuer,
48,to reject,ablehnen,
49,to deny,verleugnen,
50,the enthusiasm,die Begeisterung,
51,the victim,das Opfer,
52,the hero,der Held,
53,to give in,nachgeben,
54,brave,wacker,
55,the entertainment,die Unterhaltung,
56,the intention,die Absicht,
57,to defend,verteidigen,
58,future,künftig,
59,the effort,die Mühe,
60,to direct,lenken,
61,to conceal,verschweigen,
62,the trace,die Spur,
63,to become impoverished,verarmen,
64,the devastation,die Verheerung,
65,any,irgendein,
66,the earthquake,das Erdbeben,
67,to acknowledge,anerkennen,
68,the trunk,der Kofferraum,
69,some,einig,
70,the radio host,der Radiomoderator,
71,outside,außerhalb,
72,the edge,der Rand,
73,to reach,erreichen,
74,the possession,das Besitz,
75,to park,abstellen,
76,the distance,die Entfernung,
77,the gap,der Abstand,
78,namely,nämlich,
79,the bad luck,das Pech,
80,as planned,planmäßig,
81,the conductor,der Schaffner,
82,to dodge paying the fare,schwarzfahren,
83,the disorder,die Störung,
84,the delay,die Verspätung,
85,perhaps,wohl,
86,to perform,ausführen,
87,to spend,ausgeben,
88,the complaint,die Beschwerde,
89,the board,das Brett,
90,to dispose,entsorgen,
91,separately,gesondert,
92,the janitor,der Hausmeister,
93,the estate agent,der Makler,
94,to spare,schonen,
95,careful,sorgfältig,
96,the stairwell,das Treppenhaus,
97,to agree,vereinbaren,
98,to be present,vorhanden,
99,the member,das Mitglied,
100,the application,der Antrag,
101,the stay,der Aufenthalt,
102,to apply for,beantragen,
103,the authority,die Behörde,
104,to approve,genehmigen,
105,the citizenship,die Staatsangehörigkeit,
106,the documents,die Unterlagen,
107,the certificate,die Urkunde,
108,the consultation,die Beratung,
109,the area,der Bereich,
110,to contain,enthalten,
111,required,erforderlich,
112,advanced,fortgeschritten,
113,the knowledge,die Kenntnisse,
114,the fee,die Gebühr,
115,merciful,gnädig,
116,by the way,übrigens,
117,the stress,die Spannung,
118,comforting,tröstlich,
119,religious,fromm,
120,to cancel,kündigen,
121,the activity,die Tätigkeit,
122,the occupation zone,die Besatzungszone,
123,the voting,die Abstimmung,
124,the dignity,die Würde,
