jemanden in die Gruppe hineinnehmen	to bring somebody into the group
Sie trummeln sich oft vor dem Haus.	They often hang out in front of the house.
Lange war Deutschland in Kleinstaaten zersplittert	Germany was split in small states for a long time
das steht noch aus	this is still pending
er stand in der Kritik	he was criticized
Ich möchte mich für eine Wohnungsbesichtigung mit Ihnen absprechen.	I would like to arrange a viewing of the apartment with you.
Wir haben dafür mit ihm abgesprochen.	We have discussed this with him.
wenn es Ihnen zeitlich passt	if the time works for you
Lassen Sie es mich bitte wissen.	Please let me know.
Wir freuen uns auf Ihren Besuch.	We are looking forward to your visit.
