brechen	to break
verbrechen	to break the law
das Gesetz	the law
reißen	to tear
abreißen	to tear off
durchreißen	to tear in two
zerreißen	to tear to pieces
der Reißverschluss	the zipper
der Dieb	the thief
der Diebstahl	the theft
berichten	to report
entkommen	to escape
fliehen	to flee
beziehungsweise	respectively
berühren	to touch
der Abdruck	the imprint
der Täter	the offender
der Einbrecher	the burglar
das Gefängnis	the jail
der Wertgegenstand	the object of value
ausblenden	to hide
ausfallen	to be canceled
der Bahnsteig	the platform
bitten	to ask
drehen	to rotate
drüben	over there
getippt	typed
die Einfügung	the insertion
unsprünglich	initial
zusätzlich	additionally
treiben	to drive
scheinen	to seem
der Einzelne	the individual
besinnen	to remember
nolens oder volens	willy-nilly
eben	just
bloß	naked
bisweilen	from time to time
gemeinhin	commonly
betrachten	to consider
der Feind	the enemy
ständig	constantly
äußerst	extremely
die Furcht	the fear
die Drohung	the threat
die Beschäftigung	the employment
das Abenteuer	the adventure
ablehnen	to reject
verleugnen	to deny
die Begeisterung	the enthusiasm
das Opfer	the victim
der Held	the hero
nachgeben	to give in
wacker	brave
die Unterhaltung	the entertainment
die Absicht	the intention
verteidigen	to defend
künftig	future
die Mühe	the effort
lenken	to direct
verschweigen	to conceal
die Spur	the trace
verarmen	to become impoverished
die Verheerung	the devastation
irgendein	any
das Erdbeben	the earthquake
anerkennen	to acknowledge
der Kofferraum	the trunk
einig	some
der Radiomoderator	the radio host
außerhalb	outside
der Rand	the edge
erreichen	to reach
das Besitz	the possession
abstellen	to park
die Entfernung	the distance
der Abstand	the gap
nämlich	namely
das Pech	the bad luck
planmäßig	as planned
der Schaffner	the conductor
schwarzfahren	to dodge paying the fare
die Störung	the disorder
die Verspätung	the delay
wohl	perhaps
ausführen	to perform
ausgeben	to spend
die Beschwerde	the complaint
das Brett	the board
entsorgen	to dispose
gesondert	separate
der Hausmeister	the janitor
der Makler	the estate agent
schonen	to spare
sorgfältig	careful
das Treppenhaus	the stairwell
vereinbaren	to agree
vorhanden	to be present
das Mitglied	the member
der Antrag	the application
der Aufenthalt	the stay
beantragen	to apply for
die Behörde	the authority
genehmigen	to approve
die Staatsangehörigkeit	the citizenship
die Unterlagen	the documents
die Urkunde	the certificate
die Beratung	the consultation
der Bereich	the area
enthalten	to contain
erforderlich	required
fortgeschritten	advanced
die Kenntnisse	the knowledge
die Gebühr	the fee
gnädig	merciful
übrigens	by the way
die Spannung	the stress
tröstlich	comforting
fromm	religious
kündigen	to cancel
die Tätigkeit	the activity
die Besatzungszone	the occupation zone
die Abstimmung	the voting
die Würde	the dignity
das Gefälle	the gradient
garen	to ferment
der Käfig	the cage
die Zapfsäule	the petrol pump
abklingen	to fade away
die Rohkost	the raw food
verschlucken	to swallow
benetzen	to moisten
der Schleim	the mucus
das Publikum	the audience
die Zielgruppe	the target audience
wandern	to hike
die Stube	the parlour
der Reifen	the tire
ein Baby zu zeugen	to conceive a baby
der Mohn	the poppy
klamm	clammy
klamm	numb
vergeben	to forgive
vergeben	to assign
vergeben	to allocate
betrügen	to deceive
betrügen	to fool
betrügen	to cheat
der Deckel	the lid
