die Kiste	the box
die Kiste	the crate
die Kiste	the case
der Kasten	the box	implies no lid
der Kasten	the crate	implies no lid
der Kasten	the case	implies no lid
die Schachtel	the box	less durable container
die Schachtel	the case	less durable container
schlucken	to swallow
der Speichel	the saliva
der Speichel	the spittle
spucken	to spit
die Verdauung	the digestion
das Erbrechen	the vomit
pupsen	to fart
die Bedingung	the condition
die Hinrichtung	the execution
die Hinrichtung	the hanging
zusammenlegen	to fold
zusammenlegen	to fold up
zusammenlegen	to put together
zusammenlegen	to merge
die Aufzucht	the rearing
die Aufzucht	the raising
der Vorhang	the curtain
die Theke	the counter
der Narr	the jester
der Hofnarr	the jester
der Stachel	the sting
der Stachel	the thorn
der Stachel	the spike
der Stachel	the barb
die Stachelbeere	the gooseberry
