Das mache ich noch nicht lange.	I've been doing it not for a long time yet.
bis spät Nacht	until late at night
ich langweile mich	I'm bored
zu Fuß	on foot
es kommt mir vor	it seems to me
Ich verlasse um 9 PM.	I'm leaving at 9 PM.
Ich brauche 20 Minuten, um zur Arbeit zu gehen.	It takes me 20 minutes to go to work.
In diesem Monat musst du eine andere Wohnung finden.	Within this month you should find another flat.
Am Ende haben wir die Wohnung bekommen, die uns am besten gefallen hat.	In the end we got the flat that we liked the most.
Am Ende haben wir die Wohnung bekommen, die uns am besten gefallen hat.	In the end we got the flat we liked the most.
ich kann mich irren	I can be mistaken
ich kann falsch liegen	I can be wrong
in den siebziger Jahren	in the seventies
als die SU auseinander brach	as the SU fell apart
Es ist unterschiedlich dargestellt.	It is represented in different ways.
die Prüfung bestehen	to pass the exam
um ehrlich zu sein	to be honest
Als ich angefangen habe, in der IT zu arbeiten	As I started to work in the IT
sich abstimmen mit anderen	to coordinate with others
Der Funke, der das Pulverfass schlussendlich zündet	The spark that finally ignites the powder keg
Sag mal, was dir auf dem Herzen liegt.	Say, what is on your mind.
Je größer die Armee ist, desto mehr Geld kann sie sammeln.	The bigger the army, the more money it can collect.
je mehr desto besser	the more the better
Das hängt stark von anderen ab.	That depends heavily on others.
bislang zumindest	at least so far
Inwiefern?	In what way?
Seit ich angefangen habe, Deutsch zu lernen	Since I started learning German
in dieser Hinsicht	in this sense
Die Worte können beliebig angeordnet werden.	The words can be ordered arbitrarily.
es reicht	it is enough
es besteht fort	it persists
es bleibt bestehen	it persists
sich mit etwas beschäftigen	to deal with something
Zeit auf etwas verwenden	to dedicate time to something
Zeit mit etwas verschwenden	to waste time on something
Die Kraft ist gerichtet auf einen Punkt	The force is directed on a point
das eine schließt das andere nicht aus	the one does not exclude the other
als je zuvor	than ever before
Es ist mir aufgefallen, dass...	I have noticed, that...
Ich habe bemerkt, dass...	I have noticed, that...
einen Anwalt einschalten	to call a lawyer
einen Anwalt einschalten	to engage a lawyer
Ich erwähnte schon im Vorübergehen	I already mentioned in passing
Ich arbeite von Zuhause	I am working from home
Da ist etwas dran!	There is something in it!
Hast du etwas vor?	Do you have something in mind?
den Umständen entsprechend	according to the circumstances
Ich interessierte mich dafür, wie man eine Sprache definiert.	I was interested in the way a language is defined.
Ich habe Interesse an	I have an interest for
in eine Situation kommen	to get into a situation
Ich habe darüber nachgedacht, was ich machen würde, wenn ich kein Geld bräuchte.	I thought about what I would do if I did not need money.
I started studying when I was 16.	I started to learn from 16.
Das Thema steht zur Diskussion.	The topic is for discussion.
selbst ernannter Herrscher	self-proclaimed ruler
standardmäßig	by default
eine Frage stellen	to ask a question
die Auflagen erfüllen	to fulfill the conditions
das kann nicht die Rede sein	this can not be the question
Sie berichteten, dass der Gestank unerträglich gewesen sei.	They reported that the stench was unbearable.
Er macht das aus Überzeugung.	He does that out of conviction.
Was stört dich?	What bothers you?
Ich habe keine Lust darauf.	I don't feel like it.
Wir arbeiten mit Hochdruck an der Lösung.	We are working hard on the solution.
Die Reaktionen ließen nicht lange auf sich warten.	The reactions were not long in coming.
in gewisser Hinsicht	in certain aspects
teilweise ja	partially yes
zum Sieg entschlossen	determined to win
Sie können versuchen, etwas zu finden.	They can try to find something.
im allerschlimmsten Fall	in the worst case
den Gürtel enger schnallen	to strap the belt tight
Was für ein Buch war es?	What the book was that?
Ich stelle mir das vor als ...	I imagine it as ...
den Weg des geringsten Widerstands gehen	go the path of least resistance
der Zopf	the plait
Ich bereite mich auf eine Präsentation vor.	I prepare for a presentation.
Er ist vor ein paar Tagen zurückgekommen.	He returned a couple of days ago.
Von dem, was ich gelesen habe	From what I've read
die Straße überqueren	to cross the street
eine E-Mail weiterleiten	to forward an email
ein Meeting vereinbaren	to set up a meeting
sich mit jemandem verstehen	to get along with somebody
