der Jahrzehnt	the decade
das Fließband	the convey
der Stolz	the pride
der Teil	the part
das Teil	the machine detail
das Model	the photo model
das Modell	the product model
nachfolgend	following
vorgänge	previous
begrüßen	to welcome
sich verabschieden	to say goodbye
wingen	to wave
der Vorgang	the process
die Geschichte	the history/story
sinken	to sink
steigen	to go up
steigern	to raise
senken	to reduce
anstellen	to hire
anbieten	to offer
dringend	urgent
das Lager	the warehouse
verdienen	to earn
die Verletzung	the wound
der Unfall	the accident
der Körper	the body
menschlich	human
die Menschheit	the humanity
die Notaufnahme	the emergency room
die Aufnahme	the record
untersuchen	to check
obere	upper
die Gegend	the area
das Gefühl	the feeling
ausdrücken	to express
ausdrucken	to print out
das Böses	the evil
das Gute	the good
die Seele	the soul
dauern	to last
die Dauer	the duration
die Wahrheit	the truth
die Lüge	the lie
sich Sorgen machen	to worry
sich sorgen um	to worry about
der Magen	the stomach
glauben an	to believe in
glauben	to believe
das Gewichtheben	the weight lifting
das Rudern	the paddling
der Wettbewerb	the competition
der Kampfsport	the martial arts
wert	worth
riesig	huge
preiswert	affordable
billig	cheap
abnehmen	to lose weight
zunehmen	to gain weight
ausruhen	to relax
achten auf	to pay attention to
die Ernährung	the nutrition
aufpassen auf	to take care about
der Vorschlag	the suggestion
der Ratschlag	the advice
tauchen	to dive
das Einkommen	the income
treten	to kick
der Tritt	the kick
austreten	to quit
die Ermäßigung	the reduction
die Kunst	the art
künstlich	artificial
künstlerisch	artistic
die Bühne	the stage
die Veranstaltung	the event
der Vortrag	the report
das Fest	the festival
das Theaterstück	the spectacle
stattfinden	to take place
die Zeile	the line # of text
die Reihe	the row
spannend	exciting
das Weichei	the softy
der Durst	the thirst
die Dose	the can
entschließen	to decide
verschließen	to barricade
abschließen	to lock
aufschließen	to unlock
der Sonnenaufgang	the sunrise
der Sonnenuntergang	the sunset
die Unterkunft	the accommodation
das Trinkgeld	the tips
das Geld wechseln	the money change
der Höhepunkt	the highlight
aufgeben	to give up
die Wange	the cheek
die Zunge	the tongue
der Zungkuss	the French kiss
extra	intentionally
weitermachen	to continue # colloquial
fortfahren	to continue # formal
farbenblind	colorblind
roh	raw
die Geduld	the patience
umgangssprachlich	colloquial
die Decke	the ceiling
die Bettdecke	the blanket
der Herd	the stove
der Ofen	the oven
das Blatt	the sheet
die Küste	the coast
der See	the lake
die See	the sea
die Ausnahme	the exception
das Ufer	the shore
der Hügel	the hill
einrichten	to decorate
richten	to put in order
streiten	to conflict
zahlen	to pay
zählen	to count
erzählen	to tell a story
anrufen	to call
telefonieren	to talk on phone
die Geige	the violin
verwandt	related
schweigen	to remain silent
der Enkel	the grandson
die Enkelin	the granddaughter
die Geschwister	brothers and sisters
die Trauung	the wedding
der Trauzeuge	the best man
die Braut	the bride
der Bräutigam	the groom
die Bewegung	the movement
holen	to fetch
abholen	to pick up
die Durchfall	the diarrheas
bestehen	to pass
gestehen	to confess
die Einweihungsparty	the housewarming
das Ostern	Easter
gratulieren	to congratulate
hoffentlich	hopefully
entspannen	to chill
die Hantel	the dumbbell
heben	to lift
zufrieden	satisfied
umziehen	to move
