frohe	merry
die Wolke	the cloud
der Nebel	the fog
das Gewitter	the storm
die Folge	the consequence
bequem	comfortable
charmant	charming
das Zeichen	the character
die Zeichnung	the drawing
das Fragezeichen	the question mark
das Ausrufezeichen	the exclamation mark
der Zweig	the little branch
der Ast	the strong branch
der Stamm	the tree core
das Tagebuch	the diary
bügeln	to iron
flüstern	to whisper
peinlich	embarassing
der Mut	the courage
der Zeh	the toe
der Albtraum	the nightmare
die Nonne	the nurse
der Schmerzen	the pain
wehtun	to hurt
die Heizung	the heating
der Busch	the bush
die Hecke	the hedge
das Lied	the song
unbedingt	necessarily
abschließen	to complete
der Liedermacher	the song writer
die Mülltone	the garbage container
der Mülleimer	the trash basket
gemütlich	comfortable
das Stadtviertel	the neighbourhood
die Sehenswürdigkeit	the sightseeing
der Briefkasten	the letter box
das Sofa	the sofa
der Couch	the couch
wenden	to turn around
abbiegen	to turn
die Wirtschaft	the economics
seufzen	to sigh
der Zwilling	the twin
besichtigen	to visit
Pass auf!	Watch out!
die Krawatte	the tie
die Ecke	the corner
schwierig	difficult
schwindlich	dizzy
unentschieden	the draw
fangen	to catch
anfangen	to begin
aufräumen	to clean up
meinen	to mean
die Dienstreise	the business trip
kotzen	to puke
die Hupe	the horn
das Schiff	the ship
einladen	to invite
überleben	to survive
das Schweigen	the silence
der Konzertflügel	the grand piano
zeichnen	to draw
malen	to paint
der Biss	the bite
lieblings	favourite
geschieden	divorced
löschen	to erase
nervös	nervous
die Verabredung	the appointment
die Richtung	the direction
die Strecke	the route
der Bezirk	the district
kündigen	to cancel
die Mitteilung	the notification
die Armut	the poverty
der Vorteil	the advantage
streiten	to fight
die Erlaubnis	the permission
versprechen	to promise
das Eigentum	the property
die Mehrheit	the majority
die Minderheit	the minority
die Regierung	the government
wahr	TRUE
fließend	fluent
betrunken	drunk
das Verhältnis	the ratio
die Gelegenheit	the opportunity
lebendig	alive
vorziehen	to prefer
der Comic	the comic
der Roman	the novel
der Krimi	the thriller
die Zeitschrift	the magazine
das Märchen	the fairy tale
das Sachbuch	the non-fiction book
der Ratgeber	the advisor
das Hörbuch	the audiobook
begleiten	to accompany
der Begleiter	the steward
eigentlich	actually
obwohl	although
das Zitat	the quote
der Kessel	the boiler
schmelzen	to melt
zugeben	to admit
das Latein	Latin
sogar	even
die Kappe	the cap
der Befehl	the order
seltsam	weird
dauernd	constantly
bedienen	to serve
die Fernbedienung	the remote control
wegen	because of
heimlich	secretly
weitweg	far away
das Gedächtnis	the memory
der Verbrecher	the criminal
gierig	greedy
die Erfahrung	the experience
die Gier	the greed
geizig	stingy
ähneln	to resemble
schwindlig	dizzy
ledig	single
die Sache	the thing
die Durchsage	the announcement
die Anrede	the salutation
der Betreff	the subject
der Wechsel	the change
zurzeit	nowadays
das Standesamt	the registry office
anklicken	to click
der Flohmarkt	the flea market
herausfinden	to find out
nachschauen	to look up
prima	neat
tauschen	to exchange
der Geldschein	the banknote
der Gutschein	the coupon
der Beleg	the receipt
der Zettel	the piece of paper
die Eintrittskarte	the entrance ticket
die Visitenkarte	the business card
der Kontoauszug	the bank statement
der Führerschein	the driver license
in eile sein	to be in a hurry
